,IssueID,Runid,Edition,IssueDate,isTrain,Main.Suppl,No.Of.Books,Machine,Folder,Print.Order,Gross.Counter,Waste,Avg.Speed,TotalPages,ColorPages,BWPages,BroadSheets,Tabloids,Total.Run.time..Mnts.,Total.Downtime,Number.of.stoppages,W.b.s,Products,Production.Start,Production.End,BookID,Balloon.Folder,Change.Over.Time..Sec.,Change.Over.Type,numBookId,numFails,1/2 Flap,1/2 Flap with Glue,AD Stick,Bookmark,Center Butterfly Flap with Gluing,Center Horizontal Flap in Tabloid,Custom size flap,Fragrance in Newspaper,French Window,French Window with Gluing (Slitting),French Window with Perforation,Front page  Gate Fold with gluing,Full Page Jacket,Full Page with gluing,GLUED HALF FLAP,INTERLOCKING  XL FLAP,Plow Reverse Gate Fold,Power Jacket (GNP),Power Jacket (SNP),Power Jacket With Seamless Panorama,Power jacket with Centrespread,Power jacket with Centrespread Panorama,Reverse Flap,Seamless Panorama,Seamless Panorama  in Tabloid,Spine advt innovation,Super Panorama with Gluing,Super panorama,Times Bookmark,Vertical Perforation,Vertical flap,XXL Innovation,XXXL  Panorama,DOUBLE PANORAMA,GNP.Jacket,dow,startHour,endHour,Product.Type,pullout,integrated,Twin.Folder
22,189892,113573,TOIT_0MP_1_030416,03-04-2016,1,main,1,Colorman-B,Press 4,64710,65492,782,71445,32,32,0,32,0,55,0,0,0,THE TIMES OF INDIA - THANE CITY,01:04,01:59,235065,0,5100,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,>,0,0,0
23,189893,113568,TOIN_0MP_1_030416,03-04-2016,1,main,2,Colorman-A,Press 1,22150,22780,630,59426,24,24,0,24,0,23,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+NASHIK TIMES,23:00,23:23,235066,0,9840,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,23,>,1,0,0
24,189894,113570,MTNK_0MP_1_030416,03-04-2016,1,main,3,Colorman-A,Press 1,39680,40230,550,65237,26,26,0,26,0,37,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI+TOI - ONE OFF FEATURES -NASIK,23:38,00:15,235068,0,3120,>to>,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,>,1,0,0
25,189896,113571,TOIM_0MP_1_030416,03-04-2016,1,main,1,Colorman-A,Press 1,154080,154928,848,80832,28,28,0,28,0,115,0,0,0,SUNDAY TIMES OF INDIA-MUMBAI (CITY-2),00:52,02:47,235072,0,9120,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,>,0,0,0
26,189908,113565,MMIR_0MP_1_030416,03-04-2016,1,main,1,Colorman-B,Press 3,338350,339462,1112,79251,24,48,0,0,48,257,0,0,0,MUMBAI MIRROR ON SUNDAY,23:21,03:38,235084,0,28800,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,3,>,0,0,0
27,189925,189916,TOIV_0MP_1_030416,03-04-2016,1,main,1,Colorman-A,Press 1,76560,77830,1270,74123,34,34,0,34,0,63,0,0,0,TIMES OF INDIA NAVI MUMBAI,03:09,04:12,235102,0,5100,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,>,0,0,0
28,190010,113600,TOIN_0MP_1_040416,04-04-2016,1,main,2,Colorman-B,Press 4,19310,19854,544,44120,18,18,0,18,0,27,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+NASHIK TIMES,22:29,22:56,235198,0,71880,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,22,>,1,0,0
29,190027,113601,MTNK_0MP_1_040416,04-04-2016,1,main,2,Colorman-A,Press 1,39620,40276,656,69044,20,20,0,20,0,35,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI,23:03,23:38,235216,0,7800,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,23,>,1,0,0
30,190042,113604,TOIM_0MP_1_040416,04-04-2016,1,main,1,Colorman-A,Press 1,146710,148512,1802,73038,26,26,0,26,0,122,0,0,0,THE TIMES OF INDIA-MUMBAI (CITY-2),00:44,02:46,235233,0,11280,Fresh Start,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,>,0,0,0
31,190057,113602,MMIR_0MP_1_040416,04-04-2016,1,main,1,Colorman-B,Press 3,281970,283862,1892,70965,20,40,0,0,40,240,9,1,1,MUMBAI MIRROR,23:33,03:33,235252,0,17220,Fresh Start,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,3,>,0,0,0
32,190063,113605,TOIV_0MP_1_040416,04-04-2016,1,main,1,Colorman-B,Press 4,71890,73028,1138,67410,26,26,0,26,0,65,0,0,0,TIMES OF INDIA NAVI MUMBAI,02:36,03:41,235261,0,5040,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,>,0,0,0
33,190131,190071,TOIT_0MP_1_040416,04-04-2016,1,main,1,Colorman-A,Press 1,60770,61416,646,75203,26,26,0,26,0,49,0,0,0,THE TIMES OF INDIA - THANE CITY,03:02,03:51,235348,0,3900,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,>,0,0,0
34,190134,190043,MTMT_0MP_1_040416,04-04-2016,1,main,1,Colorman-B,Press 4,145420,146508,1088,68675,12,12,0,12,0,128,3,1,0,MAHARASHTRA TIMES-MUMBAI (CITY),00:09,02:17,235351,0,12060,Fresh Start,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,>,0,0,0
35,190206,113626,TOIN_0MP_1_050416,05-04-2016,1,main,2,Colorman-A,Press 1,19110,19732,622,56377,20,20,0,20,0,21,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+NASHIK TIMES,22:53,23:14,235437,0,17820,Fresh Start,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,23,>,1,0,0
36,190208,113628,MTNK_0MP_1_050416,05-04-2016,1,main,2,Colorman-A,Press 1,39350,40050,700,68657,20,20,0,20,0,35,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI,23:37,00:12,235440,0,3480,>to>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,>,1,0,0
37,190209,113629,TOIM_0MP_1_050416,05-04-2016,1,main,1,Colorman-A,Press 1,145650,146960,1310,77347,24,24,0,24,0,114,0,0,0,THE TIMES OF INDIA-MUMBAI (CITY-2),00:44,02:38,235442,0,8760,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,>,0,0,0
38,190210,113630,TOIV_0MP_1_050416,05-04-2016,1,main,1,Colorman-B,Press 4,71830,72454,624,70116,26,26,0,26,0,62,0,0,0,TIMES OF INDIA NAVI MUMBAI,01:48,02:50,235443,0,5100,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,>,0,0,0
39,190213,113627,MTMT_0MP_1_050416,05-04-2016,1,main,1,Colorman-B,Press 4,144940,146048,1108,70103,12,12,0,12,0,125,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),23:20,01:25,235446,0,8460,>to>,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,1,>,0,0,0
40,190222,113625,MMIR_0MP_1_050416,05-04-2016,1,main,1,Colorman-B,Press 3,279570,280342,772,77513,20,40,0,0,40,217,0,0,0,MUMBAI MIRROR,23:34,03:11,235457,0,32100,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,3,>,0,0,0
41,190237,113631,TOIT_0MP_1_050416,05-04-2016,1,main,1,Colorman-A,Press 1,60590,61210,620,73452,26,26,0,26,0,50,0,0,0,THE TIMES OF INDIA - THANE CITY,02:53,03:43,235477,0,3900,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,>,0,0,0
42,190374,113658,MMIR_0MP_1_060416,06-04-2016,1,main,1,Colorman-B,Press 4,60000,60956,956,73147,24,48,0,0,48,50,0,0,0,MUMBAI MIRROR,23:17,00:07,235632,0,76620,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,>,0,0,0
43,190375,113662,MMIR_0MP_1_060416,06-04-2016,1,main,1,Colorman-B,Press 3,189030,189624,594,79562,24,48,0,0,48,143,0,0,0,MUMBAI MIRROR,23:25,01:48,235633,0,10920,Fresh Start,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,>,0,0,0
44,190376,113659,TOIN_0MP_1_060416,06-04-2016,1,main,3,Colorman-B,Press 3,19790,20524,734,53540,24,24,0,24,0,23,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+NASHIK TIMES+ASCENT -NASIK,22:23,22:46,235634,0,10800,Fresh Start,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,22,>,1,0,0
45,190377,113666,MTMT_0MP_1_060416,06-04-2016,1,main,1,Colorman-B,Press 4,105970,106786,816,75378,18,18,0,18,0,85,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),00:21,01:46,235637,0,5940,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,>,0,0,0
46,190378,113668,TOIV_0MP_1_060416,06-04-2016,1,main,2,Colorman-B,Press 3,72690,73724,1034,73724,38,38,0,38,0,60,0,0,0,TIMES OF INDIA NAVI MUMBAI+ASCENT - MUMBAI,02:10,03:10,235638,0,4920,Fresh Start,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,>,0,1,0
47,190392,113652,MTNK_0MP_1_060416,06-04-2016,1,main,2,Colorman-A,Press 1,39350,40948,1598,49137,20,20,0,20,0,50,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI,22:39,23:29,235661,0,15120,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,23,>,1,0,0
48,190398,113665,TOIM_0MP_1_060416,06-04-2016,1,main,2,Colorman-A,Press 1,232600,234804,2204,70090,36,36,0,36,0,201,7,1,1,THE TIMES OF INDIA-MUMBAI (CITY-2)+ASCENT - MUMBAI,00:23,03:44,235669,0,15300,Fresh Start,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,>,0,1,0
49,190432,190413,TOIT_0MP_1_060416,06-04-2016,1,main,2,Colorman-B,Press 3,61030,61638,608,73965,40,39,1,40,0,50,0,0,0,THE TIMES OF INDIA - THANE CITY+ASCENT - MUMBAI,03:25,04:15,235711,0,3900,Fresh Start,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,>,0,1,0
50,190572,113686,TOIN_0MP_1_070416,07-04-2016,1,main,2,Colorman-A,Press 1,19320,20080,760,48192,22,22,0,22,0,25,0,0,0,THE TIMES OF INDIA - NASHIK (MUMBAI)+NASHIK TIMES,22:22,22:47,235872,0,6960,Fresh Start,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,22,>,1,0,0
51,190573,113689,MTMT_0MP_1_070416,07-04-2016,1,main,1,Colorman-B,Press 4,113000,113704,704,74154,24,24,0,24,0,92,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),23:03,00:35,235874,0,82140,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,>,0,0,0
52,190574,113691,MTNK_0MP_1_070416,07-04-2016,1,main,2,Colorman-A,Press 1,39350,39814,464,51931,20,20,0,20,0,46,0,0,0,MAHARASHTRA TIMES-MUMBAI (NASHIK)+NASHIK TIMES - MARATHI,23:04,23:50,235875,0,3780,>to>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,23,>,1,0,0
53,190575,113697,MTMT_0MP_1_070416,07-04-2016,1,main,1,Colorman-B,Press 4,32130,32540,410,65080,24,24,0,24,0,30,0,0,0,MAHARASHTRA TIMES-MUMBAI (CITY),02:13,02:43,235877,0,2640,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,>,0,0,0
54,190577,190576,TOIM_0MP_1_070416,07-04-2016,1,main,1,Colorman-A,Press 1,81190,81832,642,76717,32,32,0,32,0,64,0,0,0,THE TIMES OF INDIA-MUMBAI (CITY-2),00:55,01:59,235879,0,7740,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,>,0,0,0
55,190578,113695,TOIM_0MP_1_070416,07-04-2016,1,main,1,Colorman-B,Press 4,65000,65722,722,70416,32,32,0,32,0,56,0,0,0,THE TIMES OF INDIA-MUMBAI (CITY-2),01:03,01:59,235880,0,5040,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,>,0,0,0
56,190612,113696,TOIV_0MP_1_070416,07-04-2016,1,main,1,Colorman-A,Press 1,71960,73714,1754,72505,38,38,0,38,0,61,0,0,0,TIMES OF INDIA NAVI MUMBAI,02:18,03:19,235923,0,4800,>to>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,>,0,0,0
